energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-5.49574787,0.74434298,0.20779462,0.00000000,0.25222606,0.48601334,0.02229016,0.09248510
-5.48974487,0.81945814,0.23050346,0.00000000,0.28065365,0.54004590,0.02510880,0.09976824
-5.48374187,0.90108220,0.25522887,0.00000000,0.31078311,0.59815881,0.02814907,0.10782143
-5.47773887,0.98881283,0.28190441,0.00000000,0.34245303,0.66011965,0.03140650,0.11656618
-5.47173587,1.08216033,0.31044131,0.00000000,0.37547233,0.72564102,0.03487370,0.12591185
-5.46573287,1.18055599,0.34072963,0.00000000,0.40962357,0.79438555,0.03854034,0.13575736
-5.45972986,1.28336171,0.37263976,0.00000000,0.44466689,0.86597184,0.04239312,0.14599322
-5.45372686,1.38988054,0.40602382,0.00000000,0.48034455,0.93998109,0.04641576,0.15650360
-5.44772386,1.49936738,0.44071708,0.00000000,0.51638573,1.01596380,0.05058903,0.16716863
-5.44172086,1.61103939,0.47653900,0.00000000,0.55251140,1.09344629,0.05489077,0.17786661
-5.43571786,1.72408550,0.51329406,0.00000000,0.58843891,1.17193639,0.05929593,0.18847628
-5.42971486,1.83767450,0.55077200,0.00000000,0.62388621,1.25092819,0.06377661,0.19887888
-5.42371186,1.95096146,0.58874768,0.00000000,0.65857537,1.32990530,0.06830209,0.20896000
-5.41770885,2.06309216,0.62698048,0.00000000,0.69223533,1.40834261,0.07283889,0.21861122
-5.41170585,2.17320563,0.66521328,0.00000000,0.72460376,1.48570659,0.07735088,0.22773136
-5.40570285,2.28043505,0.70317138,0.00000000,0.75542817,1.56145424,0.08179935,0.23622746
-5.39969985,2.38390741,0.74056132,0.00000000,0.78446614,1.63503103,0.08614321,0.24401538
-5.39369685,2.48274265,0.77707012,0.00000000,0.81148511,1.70586841,0.09033927,0.25102012
-5.38769385,2.57605303,0.81236510,0.00000000,0.83626174,1.77338150,0.09434256,0.25717586
-5.38169085,2.66294357,0.84609467,0.00000000,0.85858122,1.83696766,0.09810684,0.26242580
-5.37568784,2.74251464,0.87789036,0.00000000,0.87823689,1.89600660,0.10158518,0.26672183
