energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.57978989,4.60679786,1.34263025,3.00289914,0.08010621,0.00831840,0.34746287,0.03166846,0.75145471
-5.57378689,4.44518463,1.33146165,2.88457127,0.07780464,0.00790274,0.32159652,0.03144501,0.73986447
-5.56778389,4.33542629,1.32971798,2.80320243,0.07674211,0.00754379,0.29911236,0.03162975,0.73572159
-5.56178089,4.27778917,1.33765419,2.75888647,0.07693431,0.00724372,0.27999060,0.03222610,0.73914230
-5.55577789,4.27197493,1.35539693,2.75133816,0.07838093,0.00700445,0.26416088,0.03323250,0.75015918
-5.54977489,4.31715095,1.38294142,2.77991769,0.08106603,0.00682775,0.25150854,0.03464231,0.76872161
-5.54377189,4.41197909,1.42014848,2.84365376,0.08495849,0.00671531,0.24188096,0.03644378,0.79469610
-5.53776888,4.55464297,1.46674205,2.94126523,0.09001276,0.00666883,0.23509375,0.03862006,0.82786647
-5.53176588,4.74287448,1.52230775,3.07118182,0.09616964,0.00669003,0.23093659,0.04114919,0.86793431
-5.52576288,4.97398127,1.58629292,3.23156491,0.10335732,0.00678067,0.22917872,0.04400419,0.91452012
-5.51975988,5.24487718,1.65800896,3.42032981,0.11149264,0.00694249,0.22957394,0.04715333,0.96716542
-5.51375688,5.55211786,1.73663660,3.63517092,0.12048249,0.00717723,0.23186533,0.05056038,1.02533661
-5.50775388,5.89194376,1.82123477,3.87359127,0.13022549,0.00748652,0.23578954,0.05418515,1.08843057
-5.50175088,6.26033232,1.91075337,4.13293767,0.14061374,0.00787184,0.24108081,0.05798411,1.15578282
-5.49574787,6.65306043,2.00405044,4.41044216,0.15153489,0.00833442,0.24747491,0.06191122,1.22667801
-5.48974487,7.06577757,2.09991339,4.70327013,0.16287414,0.00887514,0.25471279,0.06591892,1.30036304
-5.48374187,7.49408906,2.19708433,5.00857464,0.17451639,0.00949447,0.26254428,0.06995925,1.37606259
-5.47773887,7.93364767,2.29428859,5.32355599,0.18634827,0.01019236,0.27073158,0.07398520,1.45299674
-5.47173587,8.38025123,2.39026575,5.64552472,0.19826016,0.01096816,0.27905271,0.07795200,1.53040012
-5.46573287,8.82994275,2.48380201,5.97196594,0.21014785,0.01182055,0.28730477,0.08181861,1.60754202
-5.45972986,9.27910892,2.57376263,6.30060226,0.22191403,0.01274747,0.29530695,0.08554912,1.68374658
